timestamp_utc,label,program,workload,trial,seconds,result,python_version,machine,system
2026-06-23T14:13:34.269633+00:00,native,cpu,200000,1,0.273684250,17984,3.10.18,arm64,Darwin 25.5.0
2026-06-23T14:13:34.269633+00:00,native,cpu,200000,2,0.275058625,17984,3.10.18,arm64,Darwin 25.5.0
2026-06-23T14:13:34.269633+00:00,native,cpu,200000,3,0.274531875,17984,3.10.18,arm64,Darwin 25.5.0
2026-06-23T14:13:34.269633+00:00,native,cpu,200000,4,0.274972458,17984,3.10.18,arm64,Darwin 25.5.0
2026-06-23T14:13:34.269633+00:00,native,cpu,200000,5,0.274725084,17984,3.10.18,arm64,Darwin 25.5.0
2026-06-23T14:13:34.269633+00:00,native,cpu,200000,6,0.274400875,17984,3.10.18,arm64,Darwin 25.5.0
2026-06-23T14:13:34.269633+00:00,native,cpu,200000,7,0.274594958,17984,3.10.18,arm64,Darwin 25.5.0
2026-06-23T14:13:34.269633+00:00,native,cpu,200000,8,0.274804167,17984,3.10.18,arm64,Darwin 25.5.0
2026-06-23T14:13:34.269633+00:00,native,cpu,200000,9,0.275567584,17984,3.10.18,arm64,Darwin 25.5.0
2026-06-23T14:13:34.269633+00:00,native,cpu,200000,10,0.274985375,17984,3.10.18,arm64,Darwin 25.5.0
2026-06-23T14:14:08.542951+00:00,native,io,2000,1,0.061639750,128000,3.10.18,arm64,Darwin 25.5.0
2026-06-23T14:14:08.542951+00:00,native,io,2000,2,0.063065542,128000,3.10.18,arm64,Darwin 25.5.0
2026-06-23T14:14:08.542951+00:00,native,io,2000,3,0.062340625,128000,3.10.18,arm64,Darwin 25.5.0
2026-06-23T14:14:08.542951+00:00,native,io,2000,4,0.062387958,128000,3.10.18,arm64,Darwin 25.5.0
2026-06-23T14:14:08.542951+00:00,native,io,2000,5,0.062085250,128000,3.10.18,arm64,Darwin 25.5.0
2026-06-23T14:14:08.542951+00:00,native,io,2000,6,0.061758125,128000,3.10.18,arm64,Darwin 25.5.0
2026-06-23T14:14:08.542951+00:00,native,io,2000,7,0.061932084,128000,3.10.18,arm64,Darwin 25.5.0
2026-06-23T14:14:08.542951+00:00,native,io,2000,8,0.063340209,128000,3.10.18,arm64,Darwin 25.5.0
2026-06-23T14:14:08.542951+00:00,native,io,2000,9,0.062083000,128000,3.10.18,arm64,Darwin 25.5.0
2026-06-23T14:14:08.542951+00:00,native,io,2000,10,0.061859917,128000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T01:47:26.670953+00:00,native,io,10000,1,0.309851750,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T01:47:26.670953+00:00,native,io,10000,2,0.312087209,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T01:47:26.670953+00:00,native,io,10000,3,0.309008291,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T01:47:26.670953+00:00,native,io,10000,4,0.309392292,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T01:47:26.670953+00:00,native,io,10000,5,0.308539417,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T01:47:26.670953+00:00,native,io,10000,6,0.310991417,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T01:47:26.670953+00:00,native,io,10000,7,0.309405292,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T01:47:26.670953+00:00,native,io,10000,8,0.314416833,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T01:47:26.670953+00:00,native,io,10000,9,0.307829500,640000,3.10.18,arm64,Darwin 25.5.0
2026-06-24T01:47:26.670953+00:00,native,io,10000,10,0.310312208,640000,3.10.18,arm64,Darwin 25.5.0
